_id,ally_baron_kills,ally_dragon_kills,ally_inhibitor_kills,ally_kills,ally_rift_kills,ally_tower_kills,enemy_baron_kills,enemy_dragon_kills,enemy_inhibitor_kills,enemy_kills,enemy_rift_kills,enemy_tower_kills,rank,score_diff,win
NA03YW3FFYLruIXaglW7vn,0,2,0,36,1,3,1,3,4,44,1,11,BRONZE,-4.497390932256593,False
NA03lBW9z1N13JWsagu3do,0,3,0,21,2,4,2,3,1,30,0,8,MASTER,-5.639604761034576,False
NA03nYiYudoXKkN6r59Cjh,2,2,0,44,1,6,0,3,0,31,0,4,BRONZE,6.252924090384092,True
NA03seNVePEkLCE6vRNab6,0,3,0,31,0,2,2,2,2,41,2,10,MASTER,-2.81830797545463,False
NA045zRX5Wn4P0iTUtmIUY,2,2,0,34,1,4,0,4,1,46,1,11,PLATINUM,-6.154329479570542,False
NA04EA5rPO3aqhfEv5fJfw,2,1,1,55,1,9,0,4,0,52,0,7,SILVER,-3.965011397449586,True
NA04GZGI1XjF7UWgdVhIaT,0,1,2,41,0,8,1,5,2,49,2,9,SILVER,-2.327447224119247,False
NA04PhFZVYJYmEFHXcNUFd,0,1,0,21,1,2,1,2,3,41,0,11,IRON,-14.743805263403768,False
NA04QTWZslKdtDV544fr2e,1,3,3,34,2,11,0,2,0,21,0,0,SILVER,7.300810125421421,True
NA04VArpLd01PW40tanIrX,0,0,0,16,0,1,2,4,3,29,2,11,DIAMOND,-8.440934661989253,False
NA04VSEW6IDw8Hiw0XsW6l,1,4,2,39,0,10,0,0,1,17,1,7,IRON,10.956504596215844,True
NA04aXdBjKBQgeo2BctlRM,1,3,2,38,1,9,0,1,0,26,1,3,DIAMOND,5.870974409389987,True
NA04cDtNWEpDRYwZsrgq6m,0,1,0,23,0,7,0,1,0,9,1,2,IRON,11.723869656378994,True
NA04gYdOvFkn3fO1OA5PCK,2,3,1,37,2,8,1,3,1,42,0,8,PLATINUM,-3.122999720175152,False
NA04hU85K6j3Xya9TaZyfF,0,1,0,33,2,5,2,3,2,37,0,10,BRONZE,-2.097179134982781,False
NA04jPVuyfnM5oQcHvE1gt,0,2,0,29,0,0,2,2,4,35,2,11,DIAMOND,-5.690402339260785,False
NA04rv2VYIaeZgeTX7jsHp,0,3,1,30,0,7,0,0,1,25,1,7,SILVER,4.048396379683908,True
NA04uvnczW4NWGQ9TDeSrF,0,0,1,58,0,4,0,0,1,62,0,2,IRON,-3.580530093683123,True
NA04yAggmEBLjRLZgnOdgM,0,2,0,33,0,3,1,1,1,38,2,9,MASTER,1.7997193690330633,False
NA059SI64bO9esUCB9oVIv,0,0,0,16,1,3,1,4,1,28,0,6,SILVER,-7.837627150279879,False
NA05ArqpYjXKLHynpA3u5y,0,2,0,39,1,4,0,1,2,45,1,9,BRONZE,-5.355481497581131,False
NA05Cky4Rc3FoOQ6ld1nzz,0,1,0,21,0,1,1,4,2,43,2,10,BRONZE,-13.595603058731022,False
NA05EDdhMWP3JQYv8SQhcE,0,1,0,24,2,5,1,2,1,34,0,7,CHALLENGER,-6.061333607772575,False
NA05GdXmTTZlbAuhhUaIu4,1,4,2,39,2,9,0,0,0,20,0,4,SILVER,12.023849518137569,True
NA05MrRkGdKIbXE1gK1GA8,2,2,4,30,0,11,0,2,1,33,2,6,BRONZE,-2.332647616633885,True
NA05SiNIjBiaNCnzchqfeZ,0,1,1,24,1,8,1,2,1,33,0,8,DIAMOND,-4.180601611683741,True
NA06ArZWo5BqyjpIIkPoJn,0,1,0,17,0,2,0,3,1,56,2,9,IRON,-13.673361902014449,False
NA06CSfVHHZXdV5bwDRzoz,0,2,0,27,2,3,0,1,0,15,0,0,SILVER,11.322283107244232,True
NA06UoB9venncQTQ7xx4cB,0,4,2,48,0,11,1,1,1,39,1,7,SILVER,4.778339878957929,True
NA06W5tOUYHOLcY39FP2lg,0,0,0,28,0,1,0,2,0,36,2,6,PLATINUM,-6.252097999523279,False
NA06bABMoBfLaRwdYCKbkP,1,4,0,29,1,5,0,0,0,15,1,2,GRANDMASTER,9.163741333459017,True
NA06cuOFkt6kXPqB21Ii5I,0,1,0,22,1,1,0,2,2,36,1,10,SILVER,-11.076423920764434,False
NA06esMuKdtdZ8kNenQUeQ,2,5,4,86,2,11,0,1,1,38,0,7,IRON,11.42173421474763,True
NA06ivmRCgDCzVnYK0mnmF,1,3,3,40,2,11,0,1,0,26,0,1,SILVER,5.151228538134625,True
NA06lD66ct40XUIF2X7E0m,0,0,0,29,2,1,1,3,2,37,0,10,PLATINUM,-3.681184345741976,False
NA07ISAxuUqsgzXk1x914F,0,1,0,23,1,4,2,4,2,39,1,11,PLATINUM,-6.513044481237976,False
NA07IfvOTaAGC0kzerA0JV,0,0,0,13,1,2,0,3,1,30,1,7,GOLD,-11.617382646251222,False
NA07LGfA0umF2T9VMIriQs,1,2,3,26,0,11,1,3,0,23,2,4,BRONZE,1.089919886740347,True
NA07Qv5wOOOvmOzkCl9flB,0,1,0,41,1,6,0,3,1,27,0,7,SILVER,9.444873155040796,False
NA07RtflWe4X7yxZy2s8Yv,0,2,0,31,0,2,1,1,2,47,0,10,BRONZE,-5.417640921767315,False
NA07U00sva8kvQW7DgMxKj,1,3,3,50,1,9,2,2,4,44,0,11,BRONZE,0.3195765389310594,False
NA07VoJdGzzUuzvXPWa0i3,0,2,0,20,1,1,1,2,4,27,1,11,GOLD,-0.172392165608457,False
NA07Wkg00KPftGpVFmRRBo,0,1,0,29,0,5,1,3,2,34,2,10,IRON,1.1558862251008932,False
NA07Ya1jzdXeAIDFGtzagH,1,3,1,37,1,9,0,1,0,19,1,3,SILVER,4.818507577197252,True
NA07mJxDL0UiaI5S9v59pk,1,2,1,45,0,7,2,5,2,36,1,10,IRON,8.234516542776966,False
NA07stT8jgFxRN9R1Zcybu,0,3,2,44,0,10,1,0,0,27,1,4,DIAMOND,10.529052480069945,True
NA07zoa7O3lLOqFj1eusXY,0,3,0,38,0,3,1,4,1,38,2,8,BRONZE,-1.811306675380472,False
NA080L4PO9f1eng9AqA9Al,0,3,0,33,1,1,2,2,3,52,1,11,GOLD,-1.8193238138651184,False
NA08DbUzvN30V4qf0EhpWj,1,4,1,37,1,9,0,0,0,20,0,2,SILVER,8.022987681190166,True
NA08N7ktimzHrbyTC93i7V,0,2,0,18,0,2,1,2,2,26,2,11,GOLD,-5.516966093398224,False
NA08ToRqZe8lsfCT2vJBk8,0,3,0,19,0,2,1,0,1,28,2,8,PLATINUM,-4.50897204949132,False
NA08bvBnCKgRrZjVAJcpwa,1,3,0,57,0,4,2,4,2,60,1,10,DIAMOND,-1.4926850813654653,False
NA08qyjFlTPbdF7JfCgLPa,0,2,0,29,0,0,1,1,3,46,2,11,DIAMOND,-6.529147337015289,False
NA08s3YYXgkxMS7BF7BGkR,1,1,0,52,2,7,1,5,2,66,0,9,PLATINUM,-3.572944074348051,False
NA08tUdjRM2Ar2s3BELwIr,0,0,0,14,0,1,0,3,1,26,2,9,IRON,-14.646585605717974,False
NA094VMp7DuV5kry4Npdv7,1,5,1,45,2,10,1,0,0,37,0,5,BRONZE,7.134286351115449,True
NA094joGirn4YcsCaVKSZm,0,3,0,47,0,5,2,2,4,44,1,10,IRON,7.327669638450772,False
NA09Aa0PJri81uboMCRyHg,0,3,1,43,1,7,1,1,0,22,1,3,IRON,9.263765802478453,True
NA09I47RPVJVa22cwggCWv,0,0,1,65,0,2,0,0,3,52,0,4,BRONZE,2.74038402371292,False
NA09VDdgaoDYUCL788XvAO,0,2,0,34,1,6,0,1,0,26,0,4,GOLD,6.394370515882287,True
NA09Z9DW2nMLt5L9YaUMW4,0,1,0,17,0,3,0,2,3,32,2,11,IRON,-16.856858180813028,False
NA09eyUm05LVxFH8S59M7c,0,2,0,16,1,2,1,2,1,30,0,6,PLATINUM,-10.409785420851613,False
NA09qLeLNz0deoShkoqkcI,1,2,2,40,2,10,0,2,0,15,0,0,GOLD,14.73951507449856,True
NA0A04fr8cU0B3hbrTeXpg,0,3,0,39,1,5,0,1,0,25,1,3,PLATINUM,7.72446748484618,True
NA0ACi1jZl1FDytwbAbTlX,2,2,2,40,0,10,0,2,0,28,2,4,CHALLENGER,6.109032615195517,True
NA0AEVS8je7gq0DwO8mi7p,1,3,0,29,2,5,0,0,0,13,0,0,DIAMOND,15.373565971097111,True
NA0ALb75dwb7wkTEdRxwDk,0,1,0,25,1,2,1,3,2,34,1,11,GOLD,-2.073557223160037,False
NA0AMx42F5XjLkeJ23S73h,0,0,1,27,1,6,1,4,3,44,1,11,BRONZE,-7.697554500959697,False
NA0AgukyuzWfVVEpeivfOz,0,0,0,17,0,1,1,4,1,40,2,8,GOLD,-7.383325688984833,False
NA0AhmXrX74ytKHz1sVtOq,1,2,1,39,1,8,0,1,0,15,0,0,BRONZE,13.178224092524768,True
NA0AyLjraHyxIPfiBcBlW5,2,5,2,38,1,10,0,0,0,28,1,1,GOLD,4.446712490040824,True
NA0B1KjZWRqfFpQQwokURT,1,2,0,33,1,4,0,1,0,18,1,1,DIAMOND,6.94743848454933,True
NA0B4bBHGZTX9uqHuf52Yb,0,1,2,40,0,7,2,3,0,38,0,7,CHALLENGER,0.9424740970766124,True
NA0BEZYGzUG1NeWPNDO4NM,1,2,2,43,1,10,0,3,0,29,0,3,PLATINUM,4.107114664340962,True
NA0BFkYsnEFobGCiK5iisv,2,4,1,41,1,9,0,1,0,24,1,4,CHALLENGER,7.59220724306477,True
NA0BQdFmV9ecRJptzove6B,0,2,0,31,0,8,1,3,1,29,2,10,SILVER,1.7651297045556191,False
NA0BSr7tZWHzJLrqfXKkQC,0,0,2,58,0,4,0,0,0,53,0,1,GOLD,-0.5498860169130566,True
NA0BWtTfFN6ktNKu9BvjIk,1,3,2,41,1,9,0,3,0,35,0,7,GOLD,3.044193501865287,True
NA0BZ2Iw91cj8vXHMRoGhh,0,2,0,37,0,3,1,2,1,42,2,8,CHALLENGER,-2.6436771955078058,False
NA0BfLTyCaIThNghmd5TJv,1,3,3,46,2,11,0,1,0,24,0,1,PLATINUM,9.910305406829616,True
NA0BhfUfsxrni5KsbznfQi,0,0,0,24,1,4,0,4,0,36,1,8,PLATINUM,-5.104123343009682,False
NA0BiUsLqfIyhJRvYxfVIv,1,1,2,32,1,7,0,2,0,24,1,4,DIAMOND,5.242470114960987,True
NA0BnZNj33fwOruS52aGGe,0,1,0,15,0,1,1,2,2,37,2,10,SILVER,-12.189774322636817,False
NA0BncihKSgapSpuGbradn,0,4,0,42,0,5,1,1,2,24,2,9,GOLD,9.79787074410178,False
NA0BvSqYoMHx8QfohylobI,0,0,0,35,1,4,3,5,3,39,1,11,IRON,-5.703837652099857,False
NA0Bwzt0Qa1DeNTnGQCURZ,0,0,0,18,0,3,0,3,0,43,1,5,DIAMOND,-13.71316157775632,False
NA0CAAZwYNprQltaWvHWFH,0,1,0,17,1,3,1,2,2,41,1,10,DIAMOND,-15.729057418613811,False
NA0CMDgVYAWtdRbJ1H1I9u,0,2,0,23,2,6,1,3,1,44,0,7,PLATINUM,-7.803176900665719,False
NA0CMgk0KacTXrEjxYlo7o,1,2,2,34,2,11,0,2,1,36,0,7,GOLD,4.367367677784294,True
NA0CUNPci9NE6IUOtJyEKK,0,2,0,19,0,3,0,1,1,29,0,9,BRONZE,-2.71877624844673,False
NA0CWR4J327HztSziukbLQ,2,3,1,58,0,10,0,1,0,39,1,2,MASTER,6.717330519524381,True
NA0CZ6QJFGlWIPvOxKOTmr,0,0,0,38,0,3,2,4,2,53,1,9,PLATINUM,-5.716515223534863,False
NA0CZm9dnO4NugJPuhwgZD,0,0,0,17,0,3,0,4,3,39,2,9,BRONZE,-14.231670128272182,False
NA0CcyIMhaIyjoXOJKccTu,0,1,0,21,2,4,1,3,3,31,0,11,DIAMOND,-4.671996083074774,False
NA0CfUw0gD3PtzQYjU4Q63,0,2,2,46,1,10,0,1,0,29,1,3,DIAMOND,7.182758715693254,True
NA0Cgx67Hf4UvlHWZNsjYb,1,2,1,35,2,7,0,1,0,24,0,5,GOLD,2.6325190461952914,True
NA0CnnQKQjEJusqxBnlro6,0,1,0,18,0,2,0,2,2,33,2,7,PLATINUM,-8.538033038089836,False
NA0CoXXsYzE52Aio9YKHTJ,0,2,2,46,0,11,1,2,0,33,1,3,GOLD,4.588713474182676,True
NA0D1Aad9O50GstVzFE72j,1,4,4,53,1,11,0,0,0,34,1,3,GOLD,8.45558792187343,True
NA0D3bX9qksGMna7yB7GEf,0,1,0,8,1,1,1,3,3,24,1,11,IRON,-14.0174832670811,False
NA0D3ps4il83lNU8wv7O0K,1,0,0,37,1,2,1,4,4,50,1,11,PLATINUM,-5.856246508296394,False
NA0D9yaWxNXCxtMeFhZhll,1,3,1,30,2,10,0,0,0,19,0,2,CHALLENGER,3.687551853632513,True
NA0DGUq75jo6LHXywTBjCB,0,3,3,28,2,11,0,0,0,21,0,2,SILVER,4.707881760841374,True
NA0DRgYQaBzpkzgiP8VszF,0,2,0,26,0,2,0,1,2,41,1,8,DIAMOND,-3.4469050733653006,False
NA0De6dtsgi2b6JTtEIcwP,0,0,2,68,0,4,0,0,2,76,0,4,PLATINUM,-3.094845225337181,True
NA0DgPqYb0D3BXAUWx8bWf,0,0,0,17,0,1,1,2,2,47,2,11,GOLD,-13.152985554725532,False
NA0EFWbjGEmZPTGSXtVbmh,1,3,1,50,2,9,0,1,0,33,0,5,SILVER,2.0585701238684067,True
NA0EFcSkj77esFPgaDKOtL,0,1,0,50,1,5,3,4,4,48,1,10,PLATINUM,1.4324716741819543,False
NA0ENacG673k3NZgWLam8g,3,2,2,30,0,10,0,3,0,15,1,4,PLATINUM,8.659149358260414,True
NA0EQ6S7zjGdJVCkyzai5p,0,1,0,16,1,5,1,4,2,38,1,11,BRONZE,-13.217247972588195,False
NA0EQRE9d4j2hoCjaJt7b9,0,1,0,13,0,0,0,3,0,21,1,5,IRON,-3.296850512134803,False
NA0ES3Qf5eSOd4xwqmNXus,1,2,2,41,2,9,0,1,0,28,0,1,IRON,14.267129206666134,True
NA0F9bFXfj4R4CGd6M8Nwe,0,0,0,19,0,1,0,2,2,23,2,10,PLATINUM,-4.462292989014053,False
NA0FEuDwDcgnMMBFdSoIWZ,0,0,0,24,1,5,1,3,1,39,1,7,SILVER,-9.330958468037656,False
NA0FURnd7kWIEoUiJZSol0,3,3,2,46,1,6,1,4,3,53,1,10,PLATINUM,-0.5221662225432695,True
NA0FZNqsKQorsFUU8qdfze,1,3,1,39,1,6,0,0,0,22,1,2,CHALLENGER,7.745770402482094,True
NA0FbbytSLn0VNWcrAOT81,1,1,1,28,2,9,1,2,2,43,0,11,SILVER,-3.855352994222038,False
NA0FcLaRYz9EiqGZS9hcKC,0,3,1,30,1,10,1,1,0,25,1,1,PLATINUM,2.2374731071885563,True
NA0Fd23I2N3smhaz9KK5lP,0,1,0,24,2,4,2,3,2,35,0,10,SILVER,-5.939759973095896,False
NA0Ff5Llqwwn7GFcq5fzoa,0,0,0,22,0,0,1,4,2,38,2,11,GOLD,-8.556192395779775,False
NA0FpJwtV6w7ZCCLoZal23,0,0,1,67,0,4,0,0,0,59,0,1,GOLD,1.7644961267513466,True
NA0Fr8vwMHUtCtbWvJqiZs,2,2,4,45,1,11,0,4,0,37,1,3,SILVER,3.017925803260887,True
NA0G18orCc4ckQ31S9a1Me,0,2,0,12,0,3,1,2,1,23,2,7,DIAMOND,-9.257782280838704,False
NA0G2533RkttLcsgMGVlOr,1,1,2,37,0,10,0,1,0,30,1,4,GOLD,0.5819097659687742,True
NA0G652aIlqmpuiyWuKhiC,0,0,0,19,1,1,1,4,3,39,0,11,BRONZE,-7.992341591368756,False
NA0G709Z5MsT53H7AqFK1r,0,1,0,36,1,5,2,4,2,56,1,8,PLATINUM,-6.93228056568384,False
NA0GEhWkAI706aXs2xhoo5,0,3,1,44,2,9,1,2,0,43,0,4,IRON,-2.926574655678557,True
NA0GM23SPKzxsuWDIvYbkK,1,3,3,33,0,11,0,0,0,19,2,3,DIAMOND,8.987622475628505,True
NA0GaHEGSW8kUP4pOrwYtk,0,0,0,19,2,3,1,4,3,41,0,11,SILVER,-9.061372418006968,False
NA0GjL1BuTPKrYUR1nc3EE,0,1,0,21,1,0,1,1,2,46,0,9,PLATINUM,-8.44980729059543,False
NA0GmFKQXTWUcsZN1LJBPp,0,0,1,68,0,2,0,0,2,74,0,4,BRONZE,1.319329886853872,False
NA0Go0knR74b632BQDGz8c,0,0,0,16,0,1,1,4,4,31,1,11,BRONZE,-9.507749877415186,False
NA0GvVsockhB2RwyfmSiR1,0,3,0,23,2,4,1,2,4,32,0,11,SILVER,0.9373967987143956,False
NA0H25tIMptCYYYMAhcHWP,0,0,1,60,0,4,0,0,1,62,0,2,GOLD,-0.6377890316251111,True
NA0HAUd3tvSTrh9u3XGC5s,0,0,0,59,0,0,0,0,3,102,0,4,DIAMOND,-9.36671852243499,False
NA0HBhGhpsI29G1Cx6zl3m,0,1,0,17,1,1,0,3,1,30,1,8,GOLD,-7.622288899821147,False
NA0HLrvv88HEtFc2n6EUwr,2,5,2,32,0,10,0,1,0,20,2,7,SILVER,6.736833877664552,True
NA0HMAeKlSP2DTxn8dD9UR,0,4,4,25,0,11,0,0,0,49,0,1,IRON,-2.538327186908784,True
NA0HNQoZaB8v5oe7EEWotI,0,1,2,36,2,7,1,2,0,28,0,5,DIAMOND,4.053289779254314,True
NA0HQ1KeqJyUKBlgGxouqH,2,4,3,55,0,11,1,2,3,43,1,9,IRON,3.0307879732727088,True
NA0HQ5aMgi7E4DexV1DYrY,0,2,1,62,0,5,3,4,2,48,2,11,DIAMOND,8.603847465191272,False
NA0HRFwyUCfyko35zEjZa3,0,2,0,21,0,1,1,1,2,32,2,11,MASTER,-4.992170012940143,False
NA0HbZ2FDry4hz5oaH3Qhv,1,3,1,41,2,11,0,1,0,34,0,2,PLATINUM,2.483790822514933,True
NA0HptuTkrmVU5zU1Vo8Rn,0,0,0,22,0,1,1,4,0,34,1,3,IRON,-3.9734642020890334,False
NA0HwW9Qq3UJ1iZ8ysnCpD,0,0,0,16,0,2,1,3,4,34,1,11,IRON,-13.67137319966811,False
NA0I3rEVdOy7RPHCCRJy4g,2,3,0,44,2,5,0,2,2,43,0,8,DIAMOND,1.2550904534566951,False
NA0IL0YsyQ2898IAdTUk0q,0,0,0,15,0,4,1,3,1,48,1,7,CHALLENGER,-12.58180331442179,False
NA0IZZgjVehz2rP9f76yaa,2,2,2,37,2,9,0,2,0,23,0,2,GOLD,9.436627834246572,True
NA0IisXQXsjEZTOEOl47Ko,0,0,0,16,1,2,0,3,2,36,0,9,BRONZE,-10.307992021118867,False
NA0It4O0pkwQTkio4oKD6T,1,4,1,22,0,8,0,0,0,12,2,4,DIAMOND,5.436281510504905,True
NA0Iz8Zcwy0hzmvTqEPJZ2,0,1,1,34,2,8,1,2,1,42,0,8,DIAMOND,-6.081833123682259,False
NA0J19lxHTtVSHOfF0TVww,1,1,2,33,1,10,0,3,0,21,0,1,SILVER,6.473422110398147,True
NA0J6JouBwMzLhtYfeZXoh,0,2,0,18,1,4,0,1,0,21,0,3,IRON,-2.9326364233244675,False
NA0JG89N6RdWR1cHO5B3jN,0,5,2,43,0,9,1,0,0,35,0,6,SILVER,5.709585063899823,True
NA0JGEVfXSl1rGOD40UUgi,0,2,3,36,2,10,1,1,0,21,0,0,DIAMOND,6.4389634858910085,True
NA0JGgV0Ye84bRB8Gpy3tB,0,0,0,29,1,1,0,4,2,40,1,8,BRONZE,-3.8625271576483016,False
NA0JLc5Hu7QvQ2cXRXy2Os,0,2,1,41,1,8,0,3,0,32,0,3,BRONZE,5.541405159650651,True
NA0JMYVCMtmJrCDrdrTzuD,0,1,0,41,2,7,2,3,1,64,0,8,DIAMOND,-4.461059437658633,False
NA0JOyFPInQXxJifjYDyos,0,3,2,32,0,8,1,0,2,42,2,10,SILVER,-6.125987375154232,False
NA0JTatlwKhtQLJMA5BzBM,0,3,0,35,0,6,2,1,1,20,0,9,SILVER,5.732090243631745,False
NA0JWwgRsV5ttlXTWdGvxx,0,1,0,17,1,6,1,3,1,22,1,6,GOLD,-9.410091698885736,False
NA0JfBGj4Ycz3ZEA9tYJsI,0,4,1,56,1,7,2,2,0,36,1,7,GOLD,4.029197429983888,True
NA0Jkty44qXDyY8mbnALmf,0,2,0,40,0,4,1,2,1,38,1,4,BRONZE,-0.5533013449793671,False
NA0JlYiJTcqUBEIGmbqL7y,0,0,0,20,0,1,0,3,1,36,2,9,GOLD,-8.446304529169353,False
NA0KAN6xIZnQ0cnINJBAOk,0,4,2,34,2,10,0,0,0,29,0,3,BRONZE,2.159392859813707,True
NA0Kn75afqHH9UGpzRLoys,1,2,4,32,1,11,0,1,0,12,0,1,BRONZE,15.490939914094568,True
NA0KqYuVD6kf0zmpMn6BCg,1,4,1,45,0,8,0,1,0,33,2,5,IRON,4.7296954561552695,True
NA0KsVZRqFSZnsFtq7BjyI,1,3,1,41,0,8,0,2,0,25,1,4,GOLD,5.4143334586362855,True
NA0KuFl6N7zWAPzNu4RDpC,1,2,1,37,1,7,0,1,0,18,1,3,DIAMOND,12.09338461088474,True
NA0Kz8Kitu0kWflJD0HDj0,1,3,4,49,2,11,0,2,0,39,0,1,DIAMOND,3.3366806355971264,True
NA0L0k9wH11hzZJGseZVe3,0,0,0,8,0,0,0,3,0,27,1,3,SILVER,-20.245244234887952,False
NA0L5K7JY0474oycNRip4Y,1,0,0,24,2,4,1,4,2,40,0,10,MASTER,-3.859045384985905,False
NA0LJLtfd68mhuDAL9Qw9Y,0,3,2,43,1,9,0,1,0,28,1,4,IRON,5.910694170177742,True
NA0LRCYjisaxKa9sHpEpRT,1,1,1,51,0,9,0,4,0,48,0,6,IRON,1.6145723228723623,True
NA0LlvSLK7ejeDzGMYVtH0,0,2,0,37,0,6,0,2,1,24,2,8,IRON,10.119688446714676,False
NA0M14753HoRf445NxSh74,1,3,2,37,2,10,0,1,0,17,0,1,SILVER,9.862147295091418,True
NA0M9VbUsRTtPdAXEO5bCX,0,2,1,32,0,9,1,2,0,28,2,5,BRONZE,2.8135633151109545,True
NA0MQWI5aYRlUWsuX9GUjg,0,2,0,36,0,2,0,2,2,43,1,9,BRONZE,-4.343306463278047,False
NA0MXMhgQneu6mTWjT7efb,0,0,0,14,0,1,0,4,2,38,2,10,IRON,-15.226206398666612,False
NA0MpitAcyXJSwKeedVk7C,0,0,0,26,1,4,0,3,2,48,0,11,SILVER,-6.890499796301,False
NA0N3XQnRAWnLCTUHc6SDO,0,0,0,19,1,4,1,4,1,47,1,11,DIAMOND,-11.344918635799957,False
NA0N60xVMIhJTRR978BSpK,1,3,3,56,2,11,0,1,0,28,0,1,GOLD,4.368580293665048,True
NA0NLkm8OmZfqsbZ5Vo4qp,0,1,0,28,1,8,1,2,1,48,1,7,GOLD,-9.01979458458782,False
NA0NVsOX8Jw7W7IzIn0Onw,0,0,0,23,0,1,1,3,2,35,2,10,BRONZE,-4.318417781642637,False
NA0NXRJWf5fJ4RKz1R2D6N,1,1,1,42,1,8,0,3,0,40,1,3,GOLD,2.004758424962837,True
NA0NbunMlS0RYT1qYWOppI,0,2,1,34,1,9,0,2,0,26,0,1,SILVER,8.258752721623779,True
NA0NcdSWPrxY76gG4J29QI,1,2,1,32,2,9,0,1,0,16,0,1,MASTER,10.784520703118568,True
NA0NdWYxAA0DQCmqp9MXuv,0,3,2,40,1,7,1,1,0,31,1,4,GOLD,4.350141941956515,True
NA0NjmLQY21hlShJehCrtw,0,0,0,18,1,2,1,3,2,40,1,9,DIAMOND,-13.11893741998891,False
NA0NkNXwb6JWn3DUoWX5cM,0,3,0,38,1,5,0,0,0,19,0,1,SILVER,12.037268168377947,True
